specification,outcome,coefficient,estimate,standard_error_player,ci_lower,ci_upper,p_value,n_observations,n_players,n_club_games,fe_max_error,pre_start,weight_method
differential_trend_pre_8,minutes_share,treated_x_acute,-0.0162826376752972,0.03807985877889143,-0.0909177894182958,0.05835251406770141,0.6689482927135524,16240,1015,1568,2.6645352591003757e-15,-8,analysis_weight
differential_trend_pre_8,minutes_share,treated_x_consolidated,0.02129753141914836,0.054754924091877946,-0.08602014777715694,0.12861521061545367,0.6973049778267726,16240,1015,1568,2.6645352591003757e-15,-8,analysis_weight
differential_trend_pre_12,minutes_share,treated_x_acute,0.02713402344933613,0.03427089616570114,-0.040035698753349946,0.09430374565202221,0.42850575707068184,20300,1015,1960,4.440892098500626e-15,-12,analysis_weight
differential_trend_pre_12,minutes_share,treated_x_consolidated,0.09342086054966584,0.0473055243597423,0.0007037365347887237,0.18613798456454295,0.0482862629595564,20300,1015,1960,4.440892098500626e-15,-12,analysis_weight
differential_trend_pre_14,minutes_share,treated_x_acute,0.0342599918762219,0.03323453638865442,-0.03087850248842664,0.09939848624087044,0.30260876719025864,22330,1015,2156,5.329070518200751e-15,-14,analysis_weight
differential_trend_pre_14,minutes_share,treated_x_consolidated,0.10458882037264623,0.04385280319295903,0.018638905493323435,0.19053873525196902,0.017079243357512652,22330,1015,2156,5.329070518200751e-15,-14,analysis_weight
