method,variable,variable_type,key_covariate,treated_mean_before,control_mean_before,smd_before,variance_ratio_before,ks_before,treated_mean_after,control_mean_after,smd_after,variance_ratio_after,ks_after
calibrated_overlap_ridge_2,age_at_world_cup,continuous,False,26.609470751599975,26.924356917060912,-0.0766243028916511,0.7829960077726325,0.08033037182374636,26.72566789901988,26.72566789914644,-3.2762231360795737e-11,1.070060544402343,0.07254155753894698
calibrated_overlap_ridge_2,market_value_log,continuous,True,16.694048841696407,15.4509112026956,1.1743110499928018,0.9155516953463467,0.43310695977781777,16.186221884152932,16.186221884168912,-1.6179474418148833e-11,1.090916626309077,0.08187115462731287
calibrated_overlap_ridge_2,pre_minutes_share,continuous,True,0.6555110139293813,0.5617216298051606,0.36298000521692786,0.8464162357545848,0.16761084934989567,0.6318410423374785,0.6318410423493052,-4.585520567355346e-11,0.888675323043817,0.04444492440480158
calibrated_overlap_ridge_2,pre_squad_rate,continuous,False,0.8986880466472303,0.8975118483412322,0.007238123418219407,0.8985007190050436,0.019154242604286137,0.901362907387345,0.9013629073908871,-2.2994713213809202e-11,0.7574147147010751,0.03802879587663399
calibrated_overlap_ridge_2,pre_start_rate,continuous,True,0.6694606413994169,0.5690165876777251,0.3444573257472657,0.8187706008754116,0.14977270529064707,0.6445175750996178,0.6445175751150305,-5.3213229128298814e-11,0.9175739530448144,0.04780006912028656
calibrated_overlap_ridge_2,pre_npxg_xa,continuous,True,1.562900391380158,0.9451718271872185,0.4747494470289034,2.2357850506775283,0.19770149088748568,1.195458611335405,1.1954586113554335,-1.5919399651260613e-11,0.9723316646175995,0.03324187017778424
calibrated_overlap_ridge_2,pre_injury_days,continuous,False,8.026239067055394,8.523696682464456,-0.028844011223064632,0.6548654702396148,0.0690347228938969,7.540559157963395,7.540559158822121,-5.268347260197683e-11,0.780026916976491,0.035710134924222814
calibrated_overlap_ridge_2,pre_club_ppg,continuous,False,1.7063584617520478,1.2835703001579781,0.7807828069065756,1.5460424816452563,0.3327311290122007,1.4839092464260102,1.4839092464191097,1.2792767833869135e-11,1.2850555842108249,0.06578125075106733
calibrated_overlap_ridge_2,pre_opponent_ppg,continuous,False,1.374845550465084,1.3843644211239,-0.06338568186469537,1.0476036809363998,0.12062164066709963,1.3765639425641432,1.3765639425651428,-6.343314098715614e-12,1.0803677123268522,0.06592388905337271
calibrated_overlap_ridge_2,pre_trend_minutes_share,continuous,True,-0.0017411726595400164,0.005394286466561343,-0.023785273954773162,0.9014289969434242,0.056913489837370324,0.007460497366154707,0.00746049735581942,3.5328913453007726e-11,1.126234083496171,0.034569973540150525
calibrated_overlap_ridge_2,pre_trend_npxg_xa,continuous,True,-0.033249412985035226,0.035579953757578164,-0.10184850239372101,1.6349871552981108,0.12607947715308193,-0.01403559055182479,-0.014035590548385317,-5.3027269145208166e-12,1.022031872262721,0.044096511821216766
calibrated_overlap_ridge_2,missing_pre_npxg_xa,missing_indicator,False,0.01749271137026239,0.06042654028436019,-0.22325984513160677,0.3027153481980158,0.042933828914097805,0.033459948921093045,0.03404978716631438,-0.0032660410668357838,0.9832772348467866,0.0005898382452222961
calibrated_overlap_ridge_2,missing_pre_trend_npxg_xa,missing_indicator,False,0.01749271137026239,0.06042654028436019,-0.22325984513160677,0.3027153481980158,0.042933828914097805,0.033459948921093045,0.03404978716631438,-0.0032660410668357838,0.9832772348467866,0.0005898382452222961
calibrated_overlap_ridge_2,history_minutes_share_m8,prehistory,True,0.6371558147068351,0.5557925223802002,0.19853363227546594,0.9023145663995886,0.10257969132134914,0.6192942552992982,0.6192942553210441,-5.34614567455731e-11,0.9890275682551359,0.0282120394976344
calibrated_overlap_ridge_2,history_minutes_share_m7,prehistory,True,0.6647230320699709,0.5546998420221169,0.27162683452382824,0.8735311420852637,0.13310557804706175,0.6349648031670074,0.6349648031892922,-5.498445781314518e-11,0.9856767018422811,0.023645938314594828
calibrated_overlap_ridge_2,history_minutes_share_m6,prehistory,True,0.6588921282798834,0.568233280674039,0.22100941597875753,0.8956357212295893,0.11562668398435882,0.6380358016813125,0.6380358016953371,-3.43031852302062e-11,0.9525091222525707,0.03618654830745752
calibrated_overlap_ridge_2,history_minutes_share_m5,prehistory,True,0.6647554259799158,0.5573723012111638,0.2637035125513021,0.9264690766583581,0.16038439749630384,0.6201483144699865,0.6201483144799085,-2.4478474962570728e-11,1.0111021472455899,0.04359590979379685
calibrated_overlap_ridge_2,history_minutes_share_m4,prehistory,True,0.6358276643990929,0.5857951553449184,0.12291574573514435,0.9982391908716831,0.08530114821825818,0.6496746559862375,0.6496746559671484,4.7454572401276105e-11,1.0242498053965672,0.027562025720759387
calibrated_overlap_ridge_2,history_minutes_share_m3,prehistory,True,0.6704567541302237,0.563349131121643,0.2633011304676134,0.8845855958690831,0.13286722949166124,0.6433616152568907,0.6433616152769956,-4.950340698907815e-11,1.000354085375197,0.029492374644448538
calibrated_overlap_ridge_2,history_minutes_share_m2,prehistory,True,0.6761256883705863,0.5505134281200632,0.31136182352348984,0.8692474537987531,0.1534204744863416,0.647450714742424,0.6474507147549186,-3.133772741471729e-11,0.9548489010101148,0.0413933067075089
calibrated_overlap_ridge_2,history_minutes_share_m1,prehistory,True,0.6361516034985423,0.5580173775671405,0.1858063426055074,0.9975027656870264,0.12279095795393313,0.6017981780966715,0.6017981781097971,-3.113646518279331e-11,1.0076206938963161,0.03300219949596439
calibrated_overlap_ridge_2,history_npxg_xa_per_club_match_m8,prehistory,True,0.19878362542365835,0.11929103936194504,0.26959501723232865,1.4362868742988735,0.14871222693545938,0.17282826073568666,0.17282826073410557,4.6600224256529e-12,0.8720982432799846,0.04083936564033114
calibrated_overlap_ridge_2,history_npxg_xa_per_club_match_m7,prehistory,True,0.20765697206547015,0.1025088499377424,0.38299201539427224,2.4798132309558336,0.17919666173849358,0.1535141835204946,0.15351418351926543,4.600012148969433e-12,1.0525083107760769,0.042718423112246384
calibrated_overlap_ridge_2,history_npxg_xa_per_club_match_m6,prehistory,True,0.18187887808878195,0.11404248252257224,0.2551964049000658,2.084639082647344,0.10696323214458436,0.13857322078158568,0.13857322078025966,5.080488020786393e-12,1.1792609217582344,0.034393227757894884
calibrated_overlap_ridge_2,history_npxg_xa_per_club_match_m5,prehistory,True,0.20505046740760774,0.10362718381501855,0.3615415396589932,3.0687893265546142,0.15556561148494608,0.1310377714639988,0.13103777146368162,1.3175619706834715e-12,1.1925990349444455,0.046058977530152534
calibrated_overlap_ridge_2,history_npxg_xa_per_club_match_m4,prehistory,True,0.17598785767901912,0.13301778373791792,0.14302536430772164,1.442165517511897,0.07421621322869032,0.1598107497292256,0.15981074972736262,6.122622192311792e-12,0.7688311703384977,0.052452832908342684
