ridge,model_converged,calibration_converged,calibration_max_error,max_model_iterations,max_abs_smd,max_abs_smd_key,treated_ess,control_ess,treated_ess_fraction,control_ess_fraction,treated_support_fraction,max_normalized_weight,passes_selection_gates,fallback_score,selected
0.1,True,True,2.578798286023698e-12,8,2.3389017232428138e-12,2.3389017232428138e-12,223.72437894662744,361.32853992789177,0.652257664567427,0.4281143838008196,0.892128279883382,6.823237984752847,False,0.07188561620385818,False
0.2,True,True,6.897135640393515e-11,8,7.230617100278019e-11,7.230617100278019e-11,225.50692182216167,369.31972304048384,0.6574545825718999,0.4375826102375401,0.9096209912536443,6.770571558157321,False,0.06241738990707226,False
0.3,True,True,7.87365117549399e-10,8,8.239904646563059e-10,8.239904646563059e-10,226.6906859445433,375.3766898195229,0.6609057899257822,0.44475911116057215,0.9183673469387755,6.732522152181752,False,0.05524089048740878,False
0.4,True,True,3.5955474708693203e-12,8,3.3425239246053626e-12,3.3425239246053626e-12,227.57311651051444,380.3543257132924,0.6634784737915873,0.4506567840204886,0.9212827988338192,6.703330992555021,False,0.04934321598619646,False
0.45,True,True,4.178352108752392e-12,8,3.837915553394728e-12,3.837915553394728e-12,227.94058056509732,382.56283164872485,0.6645497975658814,0.45327349721412896,0.9212827988338192,6.691121527198108,False,0.04672650279354687,False
0.5,True,True,4.862693581131339e-12,8,4.944134646473733e-12,4.944134646473733e-12,228.27088466374823,384.6240981387376,0.6655127832762339,0.4557157560885517,0.9212827988338192,6.680186860569243,False,0.04428424392133658,False
0.55,True,True,6.031203314549316e-12,7,6.129455055912681e-12,6.129455055912681e-12,228.57019357983427,386.5589464147125,0.6663854040228404,0.4580082303491855,0.9212827988338192,6.670354618060512,False,0.041991769663073435,False
0.6,True,True,7.264133738971168e-12,7,7.381685796380881e-12,7.381685796380881e-12,228.84325976545153,388.38367485091334,0.6671815153511707,0.46017023086601105,0.924198250728863,6.661486473319432,False,0.03982976914875232,False
0.7,True,True,9.870104733522567e-12,7,1.0027084311419965e-11,1.0027084311419965e-11,229.32491584761954,391.75253418061465,0.6685857604886867,0.4641617703561785,0.9300291545189504,6.646208966523302,False,0.03583822966387566,False
0.8,True,True,1.2597811682724114e-11,7,1.2797336657793054e-11,1.2797336657793054e-11,229.7380306474505,394.8094516661166,0.6697901768147245,0.4677837105048775,0.9300291545189504,6.633653785768548,False,0.03221628952071718,False
1.0,True,True,1.8215678965205484e-11,7,1.8517655506173147e-11,1.8517655506173147e-11,230.41460632879236,400.1939834341198,0.6717627006670331,0.4741634874811846,0.9387755102040817,6.614810028448053,False,0.025836512555850726,False
1.2,True,True,2.385847075458969e-11,7,2.431374138845825e-11,2.431374138845825e-11,230.9498899511264,404.831816203648,0.6733232943181527,0.4796585500043222,0.9533527696793003,6.6021914466609815,False,0.020341450044305258,False
1.5,True,True,3.213443400262861e-11,7,3.386165440317392e-11,3.299787520533829e-11,231.57774743740612,410.76142960078596,0.6751537826163444,0.4866841582947701,0.9591836734693877,6.591365232550776,False,0.013315841772089455,False
2.0,True,True,4.513987794663166e-11,7,5.498445781314518e-11,5.498445781314518e-11,232.33440464204566,418.7204140600221,0.6773597802975092,0.49611423466827265,0.9591836734693877,6.587163513397883,False,0.0038857654416962688,True
