specification,outcome,coefficient,estimate,standard_error_player,ci_lower,ci_upper,p_value,n_observations,n_players,n_club_games,fe_max_error,modifier,reference,p_value_bh
heterogeneity_position_group,minutes_share,acute_difference_Defender_vs_Attack,-0.12215450405657043,0.04460638735736901,-0.20958141675745648,-0.03472759135568437,0.006172052956002094,16240,1015,1568,6.106226635438361e-16,position_group,Attack,0.037032317736012565
heterogeneity_position_group,minutes_share,acute_difference_Midfield_vs_Attack,-0.08247512327542796,0.04396844128974664,-0.1686516846596952,0.0037014381088393,0.060685493903169796,16240,1015,1568,6.106226635438361e-16,position_group,Attack,0.12137098780633959
heterogeneity_age_group,minutes_share,acute_difference_under25_vs_25to29,-0.003768400236568957,0.036954346532644636,-0.07619758851276506,0.06866078803962716,0.918776932225309,16240,1015,1568,6.106226635438361e-16,age_group,25to29,0.9187769322253091
heterogeneity_age_group,minutes_share,acute_difference_30plus_vs_25to29,0.07154588524983399,0.04346576237577517,-0.013645443567261481,0.15673721406692948,0.09975788389690488,16240,1015,1568,6.106226635438361e-16,age_group,25to29,0.1496368258453573
heterogeneity_baseline_starter,minutes_share,acute_difference_starter_high_vs_starter_low,0.006733538454919608,0.040013981204721064,-0.07169242358439631,0.08515950049423554,0.8663632883518855,16240,1015,1568,6.106226635438361e-16,baseline_starter,starter_low,0.9187769322253091
heterogeneity_prior_injury,minutes_share,acute_difference_injury_yes_vs_injury_no,0.07834832941878121,0.032514525949483425,0.014621029583400696,0.14207562925416173,0.015968231767285346,16240,1015,1568,6.106226635438361e-16,prior_injury,injury_no,0.04790469530185604
