specification,outcome,coefficient,estimate,standard_error_player,ci_lower,ci_upper,p_value,n_observations,n_players,n_club_games,fe_max_error,pre_start,post_end,weight_method
symmetric_window_4,minutes_share,treated_x_post,0.020929456779026214,0.02654028901021561,-0.03108855382028058,0.072947467378333,0.43035057013707645,8120,1015,784,4.440892098500626e-16,-4,4,analysis_weight
symmetric_window_4,npxg_xa_per_club_match,treated_x_post,0.016883578397608682,0.014941057874071595,-0.012400356926500232,0.046167513721717596,0.2584710635108389,7816,977,784,2.7755575615628914e-16,-4,4,analysis_weight
symmetric_window_6,minutes_share,treated_x_post,0.04131619696466274,0.02498237894887819,-0.007648366023270126,0.0902807599525956,0.09816540077322822,12180,1015,1176,5.134781488891349e-16,-6,6,analysis_weight
symmetric_window_6,npxg_xa_per_club_match,treated_x_post,0.021533886615347355,0.012521093152805913,-0.0030070050112233106,0.046074778241918024,0.0854671962990543,11724,977,1176,2.7755575615628914e-16,-6,6,analysis_weight
symmetric_window_8,minutes_share,treated_x_post,0.053388527439629456,0.022901010865079396,0.008503370934513373,0.09827368394474553,0.019738924952242165,16240,1015,1568,6.106226635438361e-16,-8,8,analysis_weight
symmetric_window_8,npxg_xa_per_club_match,treated_x_post,0.012727951284912888,0.011828660149799606,-0.010455796594058502,0.03591169916388428,0.2819154236842396,15632,977,1568,3.885780586188048e-16,-8,8,analysis_weight
symmetric_window_10,minutes_share,treated_x_post,0.04980710205212071,0.02157518389222349,0.007520518663533968,0.09209368544070745,0.020969308607811765,20300,1015,1960,6.106226635438361e-16,-10,10,analysis_weight
symmetric_window_10,npxg_xa_per_club_match,treated_x_post,0.010898142648951305,0.010367653479834933,-0.009422084775716526,0.031218370073619137,0.29318156686482855,19540,977,1960,4.440892098500626e-16,-10,10,analysis_weight
