specification,outcome,coefficient,estimate,standard_error_player,ci_lower,ci_upper,p_value,n_observations,n_players,n_club_games,fe_max_error,pre_start,weight_method,omitted_dimension,omitted_value
leave_one_league_name_y_out,minutes_share,treated_x_acute,-0.0020144739635551967,0.027154228348750968,-0.055235783555083635,0.05120683562797324,0.9408620813938995,13184,824,1280,6.106226635438361e-16,-8,analysis_weight,league_name_y,Bundesliga
leave_one_league_name_y_out,minutes_share,treated_x_consolidated,0.08194764356116037,0.03004821779757329,0.023054218878301252,0.14084106824401948,0.006387338302935586,13184,824,1280,6.106226635438361e-16,-8,analysis_weight,league_name_y,Bundesliga
leave_one_league_name_y_out,minutes_share,treated_x_acute,0.035913656677777794,0.029100803430053362,-0.021122869966306468,0.09295018332186206,0.21716109632544045,11888,743,1248,6.106226635438361e-16,-8,analysis_weight,league_name_y,LaLiga
leave_one_league_name_y_out,minutes_share,treated_x_consolidated,0.07062028178652109,0.031581006339747114,0.008722646765085627,0.13251791680795655,0.025341087800987427,11888,743,1248,6.106226635438361e-16,-8,analysis_weight,league_name_y,LaLiga
leave_one_league_name_y_out,minutes_share,treated_x_acute,0.03130671165465965,0.02925565900104679,-0.026033326331377116,0.08864674964069641,0.284570746074714,12992,812,1248,4.996003610813204e-16,-8,analysis_weight,league_name_y,Ligue 1
leave_one_league_name_y_out,minutes_share,treated_x_consolidated,0.06824437860433974,0.03176213689109849,0.005991734225755697,0.1304970229829238,0.03166549402777852,12992,812,1248,4.996003610813204e-16,-8,analysis_weight,league_name_y,Ligue 1
leave_one_league_name_y_out,minutes_share,treated_x_acute,0.005464616996375925,0.027681055041921726,-0.048789253939861534,0.05971848793261338,0.8435038801795167,12752,797,1248,6.106226635438361e-16,-8,analysis_weight,league_name_y,Premier League
leave_one_league_name_y_out,minutes_share,treated_x_consolidated,0.10287581238849783,0.03216561790715747,0.039832359749992566,0.1659192650270031,0.0013823268589630011,12752,797,1248,6.106226635438361e-16,-8,analysis_weight,league_name_y,Premier League
leave_one_league_name_y_out,minutes_share,treated_x_acute,0.04420089596629843,0.027271869414951903,-0.009250985878086739,0.0976527778106836,0.10507115855767912,14144,884,1248,6.106226635438361e-16,-8,analysis_weight,league_name_y,Serie A
leave_one_league_name_y_out,minutes_share,treated_x_consolidated,0.09462089854059262,0.02710590263252255,0.04149430561239899,0.14774749146878624,0.0004816023006395387,14144,884,1248,6.106226635438361e-16,-8,analysis_weight,league_name_y,Serie A
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.020556502719846215,0.025281940097555276,-0.028995189330661184,0.07010819477035361,0.41616623162401467,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1003
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.0825866892510593,0.027515542265843112,0.028657217394917167,0.13651616110720144,0.0026869187263922623,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1003
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.023291536099583277,0.025164730046109907,-0.026030428471465115,0.07261350067063167,0.3546732725381474,16128,1008,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1005
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08348551877967526,0.0272597251928842,0.03005743917316305,0.13691359838618747,0.0021942625652027203,16128,1008,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1005
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.027282088709228883,0.02530510685740048,-0.022315009356213607,0.07687918677467137,0.2809776169275615,16160,1010,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1025
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.09011489853308612,0.027090738625222953,0.03701802651306099,0.14321177055311124,0.0008797248622869347,16160,1010,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1025
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02460361534284499,0.025241391454551336,-0.024868602827752717,0.0740758335134427,0.329692756031974,16144,1009,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1038
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08608707688113104,0.027251899000572892,0.032674336329685076,0.139499817432577,0.0015834482262775396,16144,1009,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1038
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.024305646538347082,0.025213655218708338,-0.025112209608931638,0.0737235026856258,0.3350522310708164,16048,1003,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1041
