step,total,future_qatar_2022_selected,controls
players_with_pre_pause_lineup,2557,355,2202
outfield_with_180_pre_minutes,1389,267,1122
qualified_national_team_risk_set,965,267,698
analysis_strata_with_treated_and_control,965,267,698
weighted_placebo_population,965,267,698
