diagnostic_window,outcome,relative_club_match,reference_match,effect,standard_error,ci_lower,ci_upper,pooled_pre_sd,effect_sd,ci_lower_sd,ci_upper_sd,equivalence_margin,equivalence_passed,n_players,n_treated,n_controls,uses_post_treatment_outcomes
calibration_window,minutes_share,-8,-1,5.564992910933597e-15,0.04338369778523499,-0.0850304851752251,0.08503048517523623,0.3926343972008196,1.4173472702869907e-14,-0.21656402439884756,0.2165640243988759,0.039263439720081963,False,1015,314,701,0
calibration_window,minutes_share,-7,-1,1.8117451983101773e-14,0.04694544056214145,-0.0920113727401449,0.09201137274018112,0.3926343972008196,4.61433132508645e-14,-0.23434363722617024,0.23434363722626247,0.039263439720081963,False,1015,314,701,0
calibration_window,minutes_share,-6,-1,1.001282390333813e-14,0.044591804762421604,-0.08739833133997799,0.087398331339998,0.3926343972008196,2.5501647269627525e-14,-0.2225946885017224,0.22259468850177336,0.039263439720081963,False,1015,314,701,0
calibration_window,minutes_share,-5,-1,1.529193438543075e-13,0.04752663757519032,-0.09315049795350813,0.09315049795381397,0.3926343972008196,3.8947006412200373e-13,-0.23724487364734045,0.2372448736481194,0.039263439720081963,False,1015,314,701,0
calibration_window,minutes_share,-4,-1,3.926442504464944e-13,0.041942322399151175,-0.08220544132991123,0.08220544133069652,0.3926343972008196,1.0000250952177015e-12,-0.20936892415940278,0.20936892416140282,0.039263439720081963,False,1015,314,701,0
calibration_window,minutes_share,-3,-1,1.1657341758564144e-15,0.03923990164871544,-0.07690879398837497,0.0769087939883773,0.3926343972008196,2.9690067507258655e-15,-0.1958789004139101,0.19587890041391604,0.039263439720081963,False,1015,314,701,0
calibration_window,minutes_share,-2,-1,3.309852392163748e-14,0.03828696828530958,-0.07504107891640092,0.07504107891646712,0.3926343972008196,8.429858452953797e-14,-0.19112201949545413,0.1911220194956227,0.039263439720081963,False,1015,314,701,0
holdout_window,minutes_share,-14,-8,0.033990266848546793,0.048778501170556245,-0.0616138386655883,0.1295943723626819,0.3926343972008196,0.08656976334949555,-0.15692419998056065,0.3300637266795518,0.039263439720081963,False,1015,314,701,0
holdout_window,minutes_share,-13,-8,0.02887143451918455,0.040120475363463096,-0.049763252235829634,0.10750612127419873,0.3926343972008196,0.07353261641113364,-0.12674195788907758,0.27380719071134485,0.039263439720081963,False,1015,314,701,0
holdout_window,minutes_share,-12,-8,0.019964888403811956,0.038536399920540504,-0.055565067534279616,0.09549484434190353,0.3926343972008196,0.05084854650062809,-0.141518593201247,0.24321568620250317,0.039263439720081963,False,1015,314,701,0
holdout_window,minutes_share,-11,-8,0.0168023348841715,0.04025127842864659,-0.06208872116766978,0.09569339093601278,0.3926343972008196,0.0427938433411825,-0.15813367756445812,0.2437213642468231,0.039263439720081963,False,1015,314,701,0
holdout_window,minutes_share,-10,-8,0.040217072304525536,0.034265292734371865,-0.026941667374565298,0.10737581198361637,0.3926343972008196,0.10242880550263105,-0.06861769515518407,0.2734753061604462,0.039263439720081963,False,1015,314,701,0
holdout_window,minutes_share,-9,-8,0.006412534499779999,0.03263400742936733,-0.05754894473299251,0.0703740137325525,0.3926343972008196,0.01633207519640771,-0.14657132727869004,0.17923547767150544,0.039263439720081963,False,1015,314,701,0
calibration_window,in_match_squad,-8,-1,0.012011697686398391,0.03600360554754335,-0.058554072500373054,0.08257746787316983,0.2757204151335226,0.04356477441317325,-0.21236756252531097,0.29949711135165746,0.02757204151335226,False,1015,314,701,0
calibration_window,in_match_squad,-7,-1,-0.02356113144566918,0.041730584570467306,-0.10535157425758797,0.058229311366249606,0.2757204151335226,-0.08545298118116962,-0.3820956609490435,0.21118969858670425,0.02757204151335226,False,1015,314,701,0
calibration_window,in_match_squad,-6,-1,-0.027759161600861573,0.04579336423192977,-0.11751250622636862,0.061994183024645474,0.2757204151335226,-0.10067865880522013,-0.4262016875662293,0.224844369955789,0.02757204151335226,False,1015,314,701,0
calibration_window,in_match_squad,-5,-1,-0.010291887512826767,0.03424507361489139,-0.07741099844593675,0.05682722342028322,0.2757204151335226,-0.03732725960042797,-0.2807590377682011,0.20610451856734516,0.02757204151335226,False,1015,314,701,0
calibration_window,in_match_squad,-4,-1,-0.014522721040036879,0.033481278149977846,-0.08014482037036129,0.05109937829028753,0.2757204151335226,-0.05267191054026228,-0.2906742336491468,0.18533041256862223,0.02757204151335226,False,1015,314,701,0
calibration_window,in_match_squad,-3,-1,-0.024727752999056184,0.03358395169629419,-0.09055108878232562,0.04109558278421326,0.2757204151335226,-0.08968415700042133,-0.3284163370292135,0.14904802302837092,0.02757204151335226,False,1015,314,701,0
calibration_window,in_match_squad,-2,-1,0.012393786042201246,0.030003477241685474,-0.046411948762469436,0.07119952084687192,0.2757204151335226,0.04495055629522149,-0.16832975077305615,0.2582308633634991,0.02757204151335226,False,1015,314,701,0
holdout_window,in_match_squad,-14,-8,-0.003009851857741247,0.0341060979578265,-0.06985657550827626,0.06383687179279376,0.2757204151335226,-0.010916318460799037,-0.2533601854416437,0.2315275485200456,0.02757204151335226,False,1015,314,701,0
holdout_window,in_match_squad,-13,-8,-0.03144189327808277,0.03370550622162256,-0.0975034715531537,0.03461968499698815,0.2757204151335226,-0.11403541976700009,-0.353631672525721,0.12556083299172077,0.02757204151335226,False,1015,314,701,0
holdout_window,in_match_squad,-12,-8,-0.020283771575299966,0.03778176237878653,-0.09433466511017191,0.05376712195957198,0.2757204151335226,-0.07356644797403625,-0.34213884766018743,0.1950059517121149,0.02757204151335226,False,1015,314,701,0
holdout_window,in_match_squad,-11,-8,-0.017891531290450687,0.026948840787274716,-0.07071028865861315,0.03492722607771178,0.2757204151335226,-0.06489012169006923,-0.25645648554667383,0.12667624216653542,0.02757204151335226,False,1015,314,701,0
holdout_window,in_match_squad,-10,-8,-0.01752844057959315,0.028336160453176027,-0.07306629452796633,0.038009413368780026,0.2757204151335226,-0.06357324165170972,-0.2650013945923542,0.1378549112889348,0.02757204151335226,False,1015,314,701,0
holdout_window,in_match_squad,-9,-8,-0.024871654595642577,0.020856696566568165,-0.06575002870259637,0.016006719511311218,0.2757204151335226,-0.09020606828695667,-0.23846630533598948,0.05805416876207616,0.02757204151335226,False,1015,314,701,0
calibration_window,played,-8,-1,0.021400555118230205,0.046153552549700196,-0.06905874563775895,0.11185985587421936,0.3593721759765311,0.05954983871547077,-0.19216497618410183,0.31126465361504335,0.03593721759765311,False,1015,314,701,0
calibration_window,played,-7,-1,0.019322766220674498,0.04546924794244099,-0.06979532215063178,0.10844085459198077,0.3593721759765311,0.05376811982777536,-0.19421459650006342,0.30175083615561415,0.03593721759765311,False,1015,314,701,0
calibration_window,played,-6,-1,0.02480788721589465,0.04612157484569633,-0.06558873839193864,0.11520451282372794,0.3593721759765311,0.0690311851452705,-0.18250922797156655,0.32057159826210757,0.03593721759765311,False,1015,314,701,0
calibration_window,played,-5,-1,0.016437075789355896,0.04560475845056105,-0.07294660829739241,0.1058207598761042,0.3593721759765311,0.0457383094411553,-0.20298346164160525,0.29446008052391587,0.03593721759765311,False,1015,314,701,0
calibration_window,played,-4,-1,-0.0054262553325648,0.038076533243105386,-0.08005488914519344,0.06920237848006384,0.3593721759765311,-0.015099263925538751,-0.22276318117188196,0.19256465332080447,0.03593721759765311,False,1015,314,701,0
calibration_window,played,-3,-1,0.008006346676929704,0.03973422213412919,-0.06987129765967774,0.08588399101353715,0.3593721759765311,0.022278704953086186,-0.19442600827349724,0.23898341817966962,0.03593721759765311,False,1015,314,701,0
calibration_window,played,-2,-1,0.020935560486745608,0.04062411720997028,-0.05868624614852991,0.10055736712202112,0.3593721759765311,0.05825593044274193,-0.16330214210118046,0.2798140029866643,0.03593721759765311,False,1015,314,701,0
holdout_window,played,-14,-8,-0.0037475719913953875,0.04593198780153958,-0.09377261382074603,0.08627746983795526,0.3593721759765311,-0.010428108356502602,-0.2609345410949953,0.2400783243819901,0.03593721759765311,False,1015,314,701,0
holdout_window,played,-13,-8,0.020576887955222625,0.0366790829045942,-0.05131279352374078,0.09246656943418603,0.3593721759765311,0.0572578772947809,-0.14278454748008032,0.2573003020696421,0.03593721759765311,False,1015,314,701,0
holdout_window,played,-12,-8,0.0051412592131615045,0.043259172396817064,-0.07964516068560917,0.08992767911193217,0.3593721759765311,0.014306225013639498,-0.221623058238127,0.25023550826540597,0.03593721759765311,False,1015,314,701,0
holdout_window,played,-11,-8,0.03038654393061469,0.036959980127819515,-0.042053685989227645,0.10282677385045702,0.3593721759765311,0.08455452581448346,-0.11701987187782165,0.28612892350678854,0.03593721759765311,False,1015,314,701,0
holdout_window,played,-10,-8,0.007527141885144747,0.03809641999369123,-0.06714046924240168,0.08219475301269118,0.3593721759765311,0.020945255054014837,-0.18682712166004278,0.22871763176807247,0.03593721759765311,False,1015,314,701,0
holdout_window,played,-9,-8,-0.02458382154673707,0.02981727702566728,-0.08302461063409852,0.03385696754062437,0.3593721759765311,-0.0684076931663806,-0.23102681894749824,0.09421143261473702,0.03593721759765311,False,1015,314,701,0
calibration_window,started,-8,-1,0.017313172163337442,0.05695622300981035,-0.09431897363132233,0.1289453179579972,0.46784883307370895,0.037005910754531635,-0.20160138695154659,0.2756132084606099,0.0467848833073709,False,1015,314,701,0
calibration_window,started,-7,-1,0.029478079252833814,0.05204030891548163,-0.07251905196584883,0.13147521047151645,0.46784883307370895,0.06300770071214346,-0.1550053069266148,0.2810207083509017,0.0467848833073709,False,1015,314,701,0
calibration_window,started,-6,-1,0.012328862568887718,0.048086607995168854,-0.08191915724033902,0.10657688237811447,0.46784883307370895,0.02635223537459443,-0.17509749185894147,0.22780196260813035,0.0467848833073709,False,1015,314,701,0
calibration_window,started,-5,-1,0.004781061477329528,0.05682364004843482,-0.10659122648807055,0.1161533494427296,0.46784883307370895,0.010219244207404657,-0.22783262231900717,0.24827111073381647,0.0467848833073709,False,1015,314,701,0
calibration_window,started,-4,-1,-0.01088744372242667,0.049384878313006156,-0.10768002659681189,0.08590513915195855,0.46784883307370895,-0.02327128540836046,-0.2301598699934067,0.1836172991766858,0.0467848833073709,False,1015,314,701,0
calibration_window,started,-3,-1,0.013423943349513651,0.04607603066779252,-0.07688341730992268,0.10373130400894998,0.46784883307370895,0.0286929076242854,-0.16433388709085398,0.22171970233942478,0.0467848833073709,False,1015,314,701,0
calibration_window,started,-2,-1,-0.01545902600212632,0.041188325974252905,-0.09618666149515764,0.06526860949090499,0.46784883307370895,-0.033042779866655714,-0.20559346245073046,0.139507902717419,0.0467848833073709,False,1015,314,701,0
holdout_window,started,-14,-8,0.019442116063178368,0.06405769767186655,-0.1061086643062353,0.14499289643259203,0.46784883307370895,0.04155640601996605,-0.22680117338139866,0.30991398542133075,0.0467848833073709,False,1015,314,701,0
holdout_window,started,-13,-8,0.026684190284458998,0.049254757978840914,-0.06985336142130603,0.12322174199022402,0.46784883307370895,0.057035923567762624,-0.14930754654741382,0.26337939368293906,0.0467848833073709,False,1015,314,701,0
holdout_window,started,-12,-8,-0.01394411651336281,0.04652584269937222,-0.10513309255450815,0.07724485952778254,0.46784883307370895,-0.029804747874974252,-0.22471594481447507,0.16510644906452662,0.0467848833073709,False,1015,314,701,0
