ridge,weighting_stratum,feature,coefficient,converged,iterations,selected
0.1,LaLiga|Defender,missing_pre_trend_npxg_xa,-0.19933271783293702,True,7,False
0.1,LaLiga|Midfield,intercept,-1.8432248599062002,True,7,False
0.1,LaLiga|Midfield,age_at_world_cup,0.5230725422546045,True,7,False
0.1,LaLiga|Midfield,market_value_log,1.4556663214479604,True,7,False
0.1,LaLiga|Midfield,pre_minutes_share,-1.3010580948580408,True,7,False
0.1,LaLiga|Midfield,pre_squad_rate,0.5268023213780012,True,7,False
0.1,LaLiga|Midfield,pre_start_rate,1.2175522433559158,True,7,False
0.1,LaLiga|Midfield,pre_npxg_xa,-1.0166367846463145,True,7,False
0.1,LaLiga|Midfield,pre_injury_days,0.10185442530111671,True,7,False
0.1,LaLiga|Midfield,pre_club_ppg,0.8398999218489985,True,7,False
0.1,LaLiga|Midfield,pre_opponent_ppg,-0.44637180433217993,True,7,False
0.1,LaLiga|Midfield,pre_trend_minutes_share,0.23465158904995306,True,7,False
0.1,LaLiga|Midfield,pre_trend_npxg_xa,0.3174948393879131,True,7,False
0.1,Ligue 1|Attack,intercept,-2.6122139036179477,True,8,False
0.1,Ligue 1|Attack,age_at_world_cup,0.36442130194133276,True,8,False
0.1,Ligue 1|Attack,market_value_log,0.6998286449093839,True,8,False
0.1,Ligue 1|Attack,pre_minutes_share,-1.24840032708632,True,8,False
0.1,Ligue 1|Attack,pre_squad_rate,-0.4039562989036874,True,8,False
0.1,Ligue 1|Attack,pre_start_rate,-0.23260936771247395,True,8,False
0.1,Ligue 1|Attack,pre_npxg_xa,1.2176015547649996,True,8,False
0.1,Ligue 1|Attack,pre_injury_days,-2.0064735648128096,True,8,False
0.1,Ligue 1|Attack,pre_club_ppg,1.347756785319243,True,8,False
0.1,Ligue 1|Attack,pre_opponent_ppg,0.47449647816600965,True,8,False
0.1,Ligue 1|Attack,pre_trend_minutes_share,1.0747229232151532,True,8,False
0.1,Ligue 1|Attack,pre_trend_npxg_xa,-1.3601135918183649,True,8,False
0.1,Ligue 1|Defender,intercept,-1.719187194447746,True,7,False
0.1,Ligue 1|Defender,age_at_world_cup,0.07042139257249408,True,7,False
0.1,Ligue 1|Defender,market_value_log,0.7793272177563619,True,7,False
0.1,Ligue 1|Defender,pre_minutes_share,-0.4130773756835321,True,7,False
0.1,Ligue 1|Defender,pre_squad_rate,-0.11280662178321542,True,7,False
0.1,Ligue 1|Defender,pre_start_rate,0.29982198215046807,True,7,False
0.1,Ligue 1|Defender,pre_npxg_xa,0.369308964069413,True,7,False
0.1,Ligue 1|Defender,pre_injury_days,-0.6566282008280077,True,7,False
0.1,Ligue 1|Defender,pre_club_ppg,0.03834939407208677,True,7,False
0.1,Ligue 1|Defender,pre_opponent_ppg,-0.7358804826653064,True,7,False
0.1,Ligue 1|Defender,pre_trend_minutes_share,-0.0337760009451117,True,7,False
0.1,Ligue 1|Defender,pre_trend_npxg_xa,-0.021066484741498113,True,7,False
0.1,Ligue 1|Defender,missing_pre_npxg_xa,-0.3544524248745182,True,7,False
0.1,Ligue 1|Defender,missing_pre_trend_npxg_xa,-0.3544524248745183,True,7,False
0.1,Ligue 1|Midfield,intercept,-2.4820261409656412,True,8,False
0.1,Ligue 1|Midfield,age_at_world_cup,-0.2935964611366929,True,8,False
0.1,Ligue 1|Midfield,market_value_log,1.723857347544074,True,8,False
0.1,Ligue 1|Midfield,pre_minutes_share,1.2580593487034473,True,8,False
0.1,Ligue 1|Midfield,pre_squad_rate,-0.8998070130609201,True,8,False
0.1,Ligue 1|Midfield,pre_start_rate,-1.5080251187164493,True,8,False
0.1,Ligue 1|Midfield,pre_npxg_xa,0.10501669721116837,True,8,False
0.1,Ligue 1|Midfield,pre_injury_days,-0.6350795689238122,True,8,False
0.1,Ligue 1|Midfield,pre_club_ppg,0.4427638944265381,True,8,False
0.1,Ligue 1|Midfield,pre_opponent_ppg,0.14484370736034197,True,8,False
0.1,Ligue 1|Midfield,pre_trend_minutes_share,0.8767524542913748,True,8,False
0.1,Ligue 1|Midfield,pre_trend_npxg_xa,-0.4724071349777679,True,8,False
0.1,Ligue 1|Midfield,missing_pre_npxg_xa,-1.2575120388932681,True,8,False
0.1,Ligue 1|Midfield,missing_pre_trend_npxg_xa,-1.2575120388932681,True,8,False
0.1,Premier League|Attack,intercept,-0.2315900236189971,True,7,False
0.1,Premier League|Attack,age_at_world_cup,-0.06913006041144393,True,7,False
0.1,Premier League|Attack,market_value_log,0.8453770507513804,True,7,False
0.1,Premier League|Attack,pre_minutes_share,-0.1884922942951999,True,7,False
0.1,Premier League|Attack,pre_squad_rate,0.13791655561494742,True,7,False
0.1,Premier League|Attack,pre_start_rate,-0.18533770568306734,True,7,False
0.1,Premier League|Attack,pre_npxg_xa,-0.0883297729083058,True,7,False
0.1,Premier League|Attack,pre_injury_days,-0.11025596614263468,True,7,False
0.1,Premier League|Attack,pre_club_ppg,2.1130712954236652,True,7,False
0.1,Premier League|Attack,pre_opponent_ppg,-0.4869545017206619,True,7,False
0.1,Premier League|Attack,pre_trend_minutes_share,0.645239732506477,True,7,False
0.1,Premier League|Attack,pre_trend_npxg_xa,0.6340689700929675,True,7,False
0.1,Premier League|Defender,intercept,-0.232975407909532,True,7,False
0.1,Premier League|Defender,age_at_world_cup,0.23680193929740423,True,7,False
0.1,Premier League|Defender,market_value_log,0.8110901573963567,True,7,False
0.1,Premier League|Defender,pre_minutes_share,0.9280205128749048,True,7,False
0.1,Premier League|Defender,pre_squad_rate,-0.2330519077810861,True,7,False
0.1,Premier League|Defender,pre_start_rate,-0.4741918771590933,True,7,False
0.1,Premier League|Defender,pre_npxg_xa,0.4554684624459568,True,7,False
0.1,Premier League|Defender,pre_injury_days,0.20272554067060083,True,7,False
0.1,Premier League|Defender,pre_club_ppg,0.6831711030764112,True,7,False
0.1,Premier League|Defender,pre_opponent_ppg,-0.009906011768189116,True,7,False
0.1,Premier League|Defender,pre_trend_minutes_share,-0.11362792758802047,True,7,False
0.1,Premier League|Defender,pre_trend_npxg_xa,0.15943134962227945,True,7,False
0.1,Premier League|Defender,missing_pre_npxg_xa,-1.9213921308970263,True,7,False
0.1,Premier League|Defender,missing_pre_trend_npxg_xa,-1.9213921308970263,True,7,False
0.1,Premier League|Midfield,intercept,0.11682000734820723,True,7,False
0.1,Premier League|Midfield,age_at_world_cup,0.8960594826446221,True,7,False
0.1,Premier League|Midfield,market_value_log,1.590543394929876,True,7,False
0.1,Premier League|Midfield,pre_minutes_share,0.7892195487051319,True,7,False
0.1,Premier League|Midfield,pre_squad_rate,-0.643583997963821,True,7,False
0.1,Premier League|Midfield,pre_start_rate,-0.4291185774381098,True,7,False
0.1,Premier League|Midfield,pre_npxg_xa,-0.6050693972921062,True,7,False
0.1,Premier League|Midfield,pre_injury_days,-0.45639939978046906,True,7,False
0.1,Premier League|Midfield,pre_club_ppg,0.7562821629679444,True,7,False
