specification,outcome,coefficient,estimate,standard_error_player,ci_lower_player,ci_upper_player,p_value_player,standard_error_double_cluster,ci_lower_double_cluster,ci_upper_double_cluster,p_value_double_cluster,effect_sd,percent_of_treated_baseline,baseline_weighted_sd,treated_baseline_mean,n_observations,n_players,n_club_games,within_r_squared,fe_iterations,fe_max_error,p_value_holm_acute_family
primary_player_club_game_fe,minutes_share,treated_x_acute,0.023291536099583253,0.02516463849345484,-0.026030249031558504,0.072613321230725,0.3546715218743446,0.02747180927401962,-0.030552220667648636,0.07713529286681514,0.3965303813602086,0.06027500719068496,3.3935736815555666,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.002353409605121426,2,6.106226635438361e-16,1.0
primary_player_club_game_fe,minutes_share,treated_x_consolidated,0.08348551877967521,0.02725962601835646,0.03005763355166556,0.13691340400768487,0.0021941808746950286,0.029167361287341615,0.026318541132417828,0.1406524964269326,0.004205885893722172,0.21604801947146046,12.16382887373358,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.002353409605121426,2,6.106226635438361e-16,
external_player_league_position_week_fe,minutes_share,treated_x_acute,0.00517341660011041,0.02778821582482077,-0.049290485611164274,0.0596373188113851,0.852309065752132,0.0281790594274249,-0.05005652499585626,0.06040335819607708,0.8543344660416765,0.013388027369205732,0.7537661038239335,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0018081902793735116,11,5.283271042877402e-11,
external_player_league_position_week_fe,minutes_share,treated_x_consolidated,0.050851660051493164,0.028627255072575773,-0.005256728866996907,0.10696004896998323,0.07567734414325811,0.028790405834598375,-0.005576498484611475,0.1072798185875978,0.07735038775855574,0.1315964804621392,7.409080039905376,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0018081902793735116,11,5.283271042877402e-11,
external_player_league_position_week_fe,minutes_share,control_is_home,0.011430949761775416,0.006703201319447478,-0.0017070834054630068,0.02456898292901384,0.08813902843604704,0.005403163544024135,0.0008409438129083156,0.02202095571064252,0.034378574542007545,0.029581586038015747,1.6654878450648434,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0018081902793735116,11,5.283271042877402e-11,
external_player_league_position_week_fe,minutes_share,control_days_since_club_game,-0.0005505216487431299,0.00047972550985037076,-0.0014907663705149713,0.00038972307302871157,0.2511434983368339,0.0003082641660247155,-0.001154708311875848,5.36650143895882e-05,0.07411929936705786,-0.001424667578589358,-0.08021093028444316,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0018081902793735116,11,5.283271042877402e-11,
external_player_league_position_week_fe,minutes_share,control_pre_opponent_ppg,0.012687349331823939,0.006927871138728254,-0.0008910285896179294,0.026265727253265807,0.06704848015555043,0.006066562567725232,0.0007971051891236553,0.02457759347452422,0.03649605543831669,0.032832959961799295,1.8485450936810344,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0018081902793735116,11,5.283271042877402e-11,
sensitivity_differential_linear_trend,minutes_share,treated_x_acute,-0.0162826376752972,0.03807985877889143,-0.09091778941829579,0.058352514067701394,0.6689482927135524,0.042176054396763536,-0.0989461853029559,0.06638090995236151,0.6994495971587031,-0.042137027749724804,-2.372378122462364,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.002563157168100738,2,2.6645352591003757e-15,
sensitivity_differential_linear_trend,minutes_share,treated_x_consolidated,0.02129753141914836,0.054754924091877946,-0.08602014777715691,0.12861521061545364,0.6973049778267726,0.060363983427487417,-0.09701370206209964,0.13960876490039636,0.7242244970325893,0.05511482170795833,3.1030474674196276,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.002563157168100738,2,2.6645352591003757e-15,
sensitivity_differential_linear_trend,minutes_share,treated_x_linear_time,0.005653453396411566,0.004404208590707255,-0.0029786368217765598,0.014285543614599692,0.1992651587734926,0.00495062162465369,-0.004049586688994834,0.015356493481817966,0.2534671599420224,0.01463029070577301,0.8237074005740007,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.002563157168100738,2,2.6645352591003757e-15,
primary_player_club_game_fe,in_match_squad,treated_x_acute,0.03060219886629792,0.024996728531621878,-0.018390488787005742,0.07959488651960159,0.2208586270723445,0.026450494263209723,-0.021239817262876437,0.08244421499547228,0.24728816213097193,0.11113931909528253,3.33592873043053,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0013417819157055533,2,3.3306690738754696e-16,1.0
primary_player_club_game_fe,in_match_squad,treated_x_consolidated,0.05198765289484713,0.02808429080635127,-0.0030565456169506997,0.10703185140664495,0.06415095732357745,0.02957948791672071,-0.005987078103063162,0.10996238389275742,0.07882281823743842,0.18880579037274187,5.667145216501583,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0013417819157055533,2,3.3306690738754696e-16,
external_player_league_position_week_fe,in_match_squad,treated_x_acute,0.007371053782655434,0.0277492766742036,-0.04701652909582102,0.06175863666113189,0.7905238062322588,0.02793845398536155,-0.04738730981238273,0.062129417377693605,0.7919094971086298,0.026769772394402307,0.8035144858230762,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0007264468795129542,11,5.283271042877402e-11,
external_player_league_position_week_fe,in_match_squad,treated_x_consolidated,0.031991708527322756,0.02867430136945046,-0.024208889438647685,0.0881923064932932,0.26455369919991645,0.029017685647013323,-0.024881910255528203,0.08886532731017371,0.2702486994221809,0.11618566097016948,3.487398408138179,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0007264468795129542,11,5.283271042877402e-11,
external_player_league_position_week_fe,in_match_squad,control_is_home,0.008301522928793223,0.0052144082668867985,-0.0019185294749928215,0.018521575332579268,0.11137673438742146,0.005018511559503202,-0.0015345789838309906,0.018137624841417437,0.09809088545804356,0.030148997128962466,0.9049444115268338,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0007264468795129542,11,5.283271042877402e-11,
external_player_league_position_week_fe,in_match_squad,control_days_since_club_game,0.00024833399727978707,0.0003865418206542914,-0.0005092740497211647,0.001005942044280739,0.5205807004129221,0.0002845135935576277,-0.0003093023992052303,0.0008059703937648044,0.3827519179856873,0.0009018852366285577,0.027070751349852817,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0007264468795129542,11,5.283271042877402e-11,
