outcome,estimand,estimate,standard_error,ci_lower,ci_upper,p_value,n_treated,n_controls,note
minutes_share,ATT,0.038828347351327376,0.03401977271752635,-0.027849181937262567,0.10550587663991731,0.25372577305928923,314,701,different_estimand_from_primary_ATO
in_match_squad,ATT,0.04716392864402988,0.03344699109407254,-0.018390969291584222,0.11271882657964398,0.15850727528371178,314,701,different_estimand_from_primary_ATO
played,ATT,0.027914765565808408,0.0346244165663354,-0.03994784388992097,0.09577737502153778,0.42011819915725646,314,701,different_estimand_from_primary_ATO
started,ATT,0.034990346521333586,0.03720235265075841,-0.037924924814311096,0.10790561785697828,0.34694001137781383,314,701,different_estimand_from_primary_ATO
minutes_played,ATT,3.494551261619465,3.061779544577371,-2.5064263743536292,9.49552889759256,0.25372577305928923,314,701,different_estimand_from_primary_ATO
npxg_xa_per_club_match,ATT,0.037552788236035216,0.019931668630280217,-0.001512564431100788,0.07661814090317122,0.059554630043027856,310,667,different_estimand_from_primary_ATO
