specification,outcome,coefficient,estimate,standard_error_player,ci_lower_player,ci_upper_player,p_value_player,standard_error_double_cluster,ci_lower_double_cluster,ci_upper_double_cluster,p_value_double_cluster,effect_sd,percent_of_treated_baseline,baseline_weighted_sd,treated_baseline_mean,n_observations,n_players,n_club_games,within_r_squared,fe_iterations,fe_max_error,relative_club_match,simultaneous_critical_value,simultaneous_lower,simultaneous_upper,simultaneous_lower_sd,simultaneous_upper_sd
event_study_player_club_game_fe,minutes_share,event_-8,-0.028260963159156632,0.04454307211294837,-0.11556378026130586,0.05904185394299259,0.5257782374964899,0.04935827332615481,-0.12500140121750408,0.0684794748991908,0.5669372959086028,-0.07313514017928287,-4.117618536719929,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,-8,2.7828498978763268,-0.15221764683977285,0.0956957205214596,-0.393916473288364,0.24764619292979825
event_study_player_club_game_fe,minutes_share,event_-7,-0.009417469596938594,0.04019956685347576,-0.08820717282386122,0.06937223362998403,0.814776975905037,0.045119284005151604,-0.09784964125526983,0.07901470206139265,0.8346638390940815,-0.024371000918384563,-1.3721240554671852,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,-7,2.7828498978763268,-0.12128683010980619,0.102451890915929,-0.31387215191593815,0.26513015007916907
event_study_player_club_game_fe,minutes_share,event_-6,-0.02566435685190882,0.040738094011142395,-0.10550955391255476,0.05418084020873712,0.5287049010186897,0.047218092821608146,-0.11821011820093003,0.06688140449711238,0.5867662988912614,-0.06641551193443129,-3.7392933464893447,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,-6,2.7828498978763268,-0.13903235761049265,0.087703643906675,-0.3597949194454491,0.2269638955765865
event_study_player_club_game_fe,minutes_share,event_-5,-0.015206649662195842,0.04240456265472538,-0.09831806524562975,0.06790476592123806,0.7198877567709712,0.047389131134461034,-0.1080876399443852,0.07767434061999351,0.7482945300199795,-0.03935253191615307,-2.2156068134633253,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,-5,2.7828498978763268,-0.13321218251538866,0.10279888319099698,-0.3447331779523788,0.26602811412007266
event_study_player_club_game_fe,minutes_share,event_-4,-0.03500702136777001,0.041308413298322785,-0.11597002369097807,0.045955980955438056,0.3967415596510211,0.04424823860702777,-0.12173197541687919,0.051717932681339174,0.42885610354123527,-0.09059292850610028,-5.100518311690197,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,-4,2.7828498978763268,-0.14996213509644069,0.07994809236090065,-0.38807954669121897,0.2068936896790184
event_study_player_club_game_fe,minutes_share,event_-3,-0.026795971220602816,0.039610117074457496,-0.10443037410995454,0.05083843166874891,0.4987276201364521,0.044102406656935156,-0.11323509989973522,0.05964315745852959,0.5434625943189848,-0.06934396044544786,-3.904169408027372,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,-3,2.7828498978763268,-0.13702498147612618,0.08343303903492057,-0.35460013064251084,0.21591220975161515
event_study_player_club_game_fe,minutes_share,event_-2,0.00215018788262919,0.03916537957937436,-0.07461254553378503,0.07891292129904341,0.9562179580883503,0.04341611132246227,-0.0829438266581785,0.08724420242343688,0.9605008233088932,0.005564364219374823,0.31328208571957034,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,-2,2.7828498978763268,-0.10684118468012033,0.1111415604453787,-0.2764889849824365,0.2876177134211862
event_study_player_club_game_fe,minutes_share,event_+1,-0.05418532271542209,0.03695638844720298,-0.12661851307061206,0.01824786763976788,0.14259479632646643,0.0440174722104487,-0.1404579829383942,0.03208733750755002,0.21832444109703886,-0.14022350017352825,-7.8947942423145525,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,1,2.7828498978763268,-0.15702940453159878,0.048658759100754595,-0.4063685815664363,0.12592158121937985
event_study_player_club_game_fe,minutes_share,event_+2,-0.006938808079936604,0.037204910742176016,-0.07985909318262895,0.06598147702275574,0.8520507350968751,0.041939236485363546,-0.08913820113035734,0.07526058497048413,0.8685905259004567,-0.017956596126798396,-1.0109834053349231,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,2,2.7828498978763268,-0.11047449013929898,0.09659687397942578,-0.28589143537220996,0.24997824311861316
event_study_player_club_game_fe,minutes_share,event_+3,0.009528399267130533,0.04000319583950675,-0.0688764238448052,0.08793322237906627,0.8117329950947934,0.04355075324321237,-0.07582950858915664,0.09488630712341771,0.8268148897595478,0.024658070291563396,1.388286493515818,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,3,2.7828498978763268,-0.10179449018956752,0.12085128872382858,-0.2634288954543481,0.3127450360374749
event_study_player_club_game_fe,minutes_share,event_+4,0.07566075393859106,0.04220843123233234,-0.007066251120715877,0.158387758997898,0.07304479168246303,0.04796460457268082,-0.01834814355656851,0.16966965143375062,0.11469686755741648,0.19579869993129478,11.023761687287273,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,4,2.7828498978763268,-0.04179897460582495,0.19312048248300706,-0.10816948629568644,0.49976688615827597
event_study_player_club_game_fe,minutes_share,event_+5,0.0838833546002383,0.04405599590354937,-0.002464810673762599,0.17023151987423918,0.056908001382066864,0.04677767926455326,-0.007799212038652151,0.17556592123912873,0.07293541417834071,0.2170775589935696,12.221793499358556,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,5,2.7828498978763268,-0.03871786910079393,0.20648457830127054,-0.10019604668753941,0.5343511646746786
event_study_player_club_game_fe,minutes_share,event_+6,0.03942499355752849,0.04714182101011607,-0.05297127778793262,0.1318212649029896,0.4029827094473184,0.0527409231348647,-0.06394531629820162,0.14279530341325858,0.45474860568240816,0.10202597887973806,5.744216266385296,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,6,2.7828498978763268,-0.0917636182261771,0.17061360534123407,-0.2374705010772157,0.44152245883669183
event_study_player_club_game_fe,minutes_share,event_+7,0.09201942817162026,0.04548179916527832,0.002876739855590879,0.18116211648764963,0.043051054099696895,0.050436763554273754,-0.006834811891518688,0.1908736682347592,0.06808384449273186,0.2381324989048863,13.407218325999152,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,7,2.7828498978763268,-0.03454959199070612,0.21858844833394664,-0.08940916978474012,0.5656741675945127
event_study_player_club_game_fe,minutes_share,event_+8,0.04951317680134373,0.0409991856346247,-0.030843750437992618,0.12987010404068008,0.22717712877705765,0.04516602972649452,-0.03901061478725097,0.13803696838993845,0.2729701906750974,0.1281326862674398,7.214063210122674,0.3864211251920478,0.6863424308767841,16240,1015,1568,0.0038637156463341427,2,6.106226635438361e-16,8,2.7828498978763268,-0.06458140275498418,0.16360775635767166,-0.16712699835674824,0.42339237089162784
event_study_player_club_game_fe,in_match_squad,event_-8,-0.018504267740651142,0.034496488538147976,-0.08611614286851994,0.04910760738721766,0.5916750950251375,0.035807345706830994,-0.0886853757080148,0.05167684022671251,0.6053146635984592,-0.06720274337272027,-2.017139966357084,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,-8,2.7852298574382313,-0.11458491759387661,0.07757638211257432,-0.41614296330834544,0.28173747656290493
event_study_player_club_game_fe,in_match_squad,event_-7,-0.0571745015508502,0.03178015884457493,-0.1194624683091791,0.0051134652074786985,0.07200874729526596,0.03594793070200691,-0.1276311510455254,0.013282147943824985,0.11172642015851286,-0.20764309126072866,-6.232560712543317,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,-7,2.7852298574382313,-0.14568954883888996,0.03134054573718957,-0.5291069876382363,0.11382080511677892
event_study_player_club_game_fe,in_match_squad,event_-6,-0.06503024351867101,0.03401956625832839,-0.13170736815466869,0.001646881117326665,0.055933403288764394,0.04060685250587374,-0.14461821195571356,0.01455772491837154,0.10927510808697027,-0.23617312654042752,-7.0889107886864755,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,-6,2.7852298574382313,-0.15978255519846546,0.029722068161123424,-0.5802891637181928,0.1079429106373377
event_study_player_club_game_fe,in_match_squad,event_-5,-0.05045905103165933,0.031592824727259175,-0.11237984966697376,0.011461747603655092,0.11022824713237944,0.034580316942130776,-0.11823522681221589,0.017317124748897225,0.14451442491337607,-0.18325430137730342,-5.500513174958527,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,-5,2.7852298574382313,-0.13845232974283445,0.037534227679515766,-0.502823268419458,0.13631466566485118
event_study_player_club_game_fe,in_match_squad,event_-4,-0.04622636529116396,0.03236573566810413,-0.10966204153379146,0.01720931095146354,0.1532198841855057,0.03338159558327111,-0.11165309038085666,0.019200359798528743,0.16611792155954497,-0.16788227490305432,-5.039110449282094,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,-4,2.7852298574382313,-0.1363723786319211,0.04391964804959318,-0.4952694206966734,0.15950487089056486
event_study_player_club_game_fe,in_match_squad,event_-3,-0.0500856891536315,0.033607836190385015,-0.11595583768510793,0.015784459377844937,0.1361459130427296,0.037168525719959655,-0.12293466092320308,0.022763282615940086,0.17780972203172918,-0.1818983470198586,-5.459813203652472,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,-3,2.7852298574382313,-0.14369123795498498,0.04351985964772198,-0.5218496362319462,0.15805294219222907
event_study_player_club_game_fe,in_match_squad,event_-2,-0.006767806183050479,0.0287692386282792,-0.0631544777571162,0.049618865391015246,0.8140189412381647,0.029611586071847735,-0.06480544840897992,0.05126983604287896,0.8192166377014143,-0.02457893219501408,-0.7377547994725093,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,-2,2.7852298574382313,-0.086896748586299,0.07336113622019805,-0.3155866515236313,0.26642878713360313
event_study_player_club_game_fe,in_match_squad,event_+1,-0.043106617707532074,0.03603448513487534,-0.11373291077333167,0.02751967535826752,0.23159506411959185,0.04001447358814581,-0.12153354480062707,0.03532030938556292,0.2813571410571476,-0.1565521537013439,-4.699028494995133,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,1,2.7852298574382313,-0.143470941602601,0.057257706187536825,-0.5210495765136854,0.20794526911099764
event_study_player_club_game_fe,in_match_squad,event_+2,-0.021192057366382785,0.036069159476544536,-0.09188631089304165,0.04950219616027608,0.5568414030777054,0.040050572006932086,-0.09968973606019772,0.05730562132743215,0.5967135708606581,-0.07696410431871939,-2.310134423160834,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,2,2.7852298574382313,-0.12165295727315575,0.07926884254039018,-0.4418122663778916,0.28788405774045284
event_study_player_club_game_fe,in_match_squad,event_+3,0.04292397559194938,0.034750203825223105,-0.025185172360913916,0.11103312354481268,0.216750470597862,0.03713051285743957,-0.02985049233613357,0.11569844352003233,0.24766900943694337,0.1558888444910264,4.679118779244939,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,3,2.7852298574382313,-0.05386332965412624,0.139711280838025,-0.19561776616506651,0.5073954551471194
event_study_player_club_game_fe,in_match_squad,event_+4,-0.003340467287679852,0.03841708395157794,-0.0786365682238243,0.07195563364846459,0.9307091486334416,0.0438950914814645,-0.08937326568944118,0.08269233111408147,0.9393386189466757,-0.012131718424379895,-0.3641424868428956,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,4,2.7852298574382313,-0.11034087654532583,0.10365994196996613,-0.400729697274452,0.3764662604256922
event_study_player_club_game_fe,in_match_squad,event_+5,0.03473832160151519,0.039346475822391,-0.042379353928947164,0.11185599713197754,0.3772996682499461,0.043030136483964976,-0.049599196156899145,0.11907583935992952,0.41949242693020494,0.12616065355869638,3.7868051764428343,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,5,2.7852298574382313,-0.07485065764397972,0.1443273008470101,-0.2718383460198845,0.5241596531372772
event_study_player_club_game_fe,in_match_squad,event_+6,-0.018018355743218473,0.03985733403772819,-0.09613729497694812,0.06010058349051117,0.6512176378101224,0.04413943076418394,-0.10453005033911825,0.0684933388526813,0.6831162023071602,-0.06543803591588553,-1.9641709689403102,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,6,2.7852298574382313,-0.12903019254298811,0.09299348105655117,-0.46860448834458907,0.33772841651281804
event_study_player_club_game_fe,in_match_squad,event_+7,0.017499733982854912,0.04184862249649216,-0.06452205891288239,0.09952152687859221,0.6758246535753298,0.04621009526964748,-0.07307038846781884,0.10806985643352866,0.7049111209782211,0.06355453500908366,1.9076362984030046,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,7,2.7852298574382313,-0.09905829888703631,0.13405776685274612,-0.3597542757349592,0.4868633457531265
event_study_player_club_game_fe,in_match_squad,event_+8,0.02660694950340077,0.0366637461451218,-0.04525267247935719,0.09846657148615873,0.4680215490682622,0.04158046421914864,-0.05488926282658693,0.10810316183338847,0.5222437050788142,0.09662960050452929,2.900408812624859,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0030561314967983977,2,3.3306690738754696e-16,8,2.7852298574382313,-0.07551001094552832,0.12872390995232985,-0.2742329477051262,0.4674921487141847
