outcome,coefficient,log_rate_ratio,standard_error_player,rate_ratio,percent_change,ci_lower_rate_ratio,ci_upper_rate_ratio,p_value,converged,iterations,maximum_change,n_observations,n_players,separated_rows_dropped
minutes_played,treated_x_acute,0.03929196053878662,0.04665691504673969,1.040074099920607,4.0074099920607065,0.9491827644290757,1.1396689593034546,0.3997059218538672,True,9,1.9525714378687553e-10,16240,1015,0
minutes_played,treated_x_consolidated,0.15138753078393244,0.0515556591744799,1.1634474424292016,16.34474424292016,1.051628900183476,1.2871555270674744,0.0033205638182214336,True,9,1.9525714378687553e-10,16240,1015,0
npxg_xa_per_club_match,treated_x_acute,0.07972219431151124,0.10426818641685565,1.0829861661633031,8.298616616330312,0.8828149272154772,1.3285446359640207,0.4445169730372267,True,13,4.938272013532696e-13,15566,976,66
npxg_xa_per_club_match,treated_x_consolidated,0.11226665316492386,0.09644693470185371,1.118811155408198,11.88111554081981,0.9261066619575752,1.351613645473559,0.2444138385390171,True,13,4.938272013532696e-13,15566,976,66
